Country,Established,Immigrant,Count,Total_Number_Speakers
Afghanistan,41,1,42,23352300
Aland Islands,3,0,3,27652
Albania,8,4,12,2847936
Algeria,18,4,22,38548160
American Samoa,2,5,7,56090
Andorra,4,1,5,73500
Angola,46,1,47,24288770
Anguilla,2,0,2,12450
Antigua and Barbuda,2,2,4,153800
Argentina,24,16,40,46160150
Armenia,8,6,14,3036180
Aruba,4,2,6,86790
Australia,226,93,319,22693732
Austria,15,21,36,9490430
Azerbaijan,18,20,38,9280890
Bahamas,3,2,5,667280
Bahrain,6,8,14,1263500
Bangladesh,41,4,45,165220330
Barbados,3,0,3,518290
Belarus,4,7,11,8946400
Belgium,12,24,36,13686200
Belize,8,4,12,532160
Benin,55,1,56,9605590
Bermuda,2,1,3,64610
Bhutan,23,8,31,639500
Bolivia,43,2,45,7349368
Bosnia and Herzegovina,5,7,12,3757804
Botswana,31,7,38,2213660
Brazil,217,11,228,204653402
British Indian Ocean Territory,1,0,1,4000
British Virgin Islands,2,0,2,39700
Brunei,15,2,17,459685
Bulgaria,13,12,25,7833570
Burkina Faso,71,0,71,12472930
Burundi,3,1,4,10036100
Cambodia,27,2,29,16326490
Cameroon,274,1,275,10228065
Canada,96,99,195,33362312
Cape Verde Islands,2,1,3,489800
Caribbean Netherlands,5,1,6,18540
Cayman Islands,1,3,4,74840
Central African Republic,72,11,83,3638143
Chad,130,1,131,8865556
Chile,11,6,17,17412013
China,302,3,305,1319419348
China–Hong Kong,7,4,11,6929750
China–Macao,5,2,7,582430
China–Taiwan,23,12,35,23985650
Christmas Island,2,0,2,1000
Cocos (Keeling) Islands,2,0,2,600
Colombia,85,4,89,47673568
Comoros,6,0,6,764500
Congo,62,2,64,3690660
Cook Islands,5,0,5,15000
Costa Rica,11,1,12,4853290
Croatia,16,11,27,4333590
Cuba,3,2,5,11403500
Curacao,5,1,6,137670
Cyprus,5,11,16,1541700
Czechia,11,15,26,10802090
Côte d’Ivoire,86,15,101,18439310
Democratic Republic of the Congo,212,2,214,42128230
Denmark,5,34,39,5924220
Djibouti,5,5,10,830400
Dominica,3,2,5,45800
Dominican Republic,4,5,9,10193500
East Timor,20,1,21,1040816
Ecuador,24,0,24,16665750
Egypt,16,7,23,94599800
El Salvador,5,0,5,6378000
Equatorial Guinea,14,2,16,699150
Eritrea,15,2,17,5788600
Estonia,7,13,20,1541760
Eswatini,5,2,7,1261640
Ethiopia,90,1,91,66766720
Falkland Islands,1,1,2,2860
Faroe Islands,2,0,2,48000
Fiji,10,11,21,840900
Finland,13,25,38,5818940
France,22,20,42,69961900
French Guiana,13,3,16,178780
French Polynesia,9,1,10,257960
Gabon,43,1,44,1077960
Gambia,11,13,24,1314820
Georgia,20,7,27,4506220
Germany,25,70,95,88571690
Ghana,81,6,87,27661206
Gibraltar,2,1,3,46700
Greece,20,14,34,11693492
Greenland,3,0,3,56200
Grenada,4,0,4,107353
Guadeloupe,3,1,4,449300
Guam,2,7,9,181400
Guatemala,27,0,27,14708590
Guernsey,3,1,4,62720
Guinea,37,3,40,11600930
Guinea-Bissau,23,7,30,1779010
Guyana,16,2,18,1319041
Haiti,4,0,4,6960600
Honduras,10,2,12,8982840
Hungary,18,3,21,9927510
Iceland,2,0,2,300300
India,447,6,453,1257421714
Indonesia,707,3,710,222191197
Iran,79,5,84,82927520
Iraq,23,4,27,33977620
Ireland,5,8,13,4682020
Isle of Man,2,0,2,88000
Israel,36,17,53,9475461
Italy,35,12,47,82319110
Jamaica,4,4,8,2692540
Japan,15,4,19,129414863
Jersey,3,1,4,99230
Jordan,11,3,14,7572800
Kazakhstan,13,35,48,15308820
Kenya,67,5,72,37037960
Kiribati,2,1,3,106000
Kuwait,3,4,7,3187200
Kyrgyzstan,6,27,33,5825990
Laos,85,7,92,6543480
Latvia,8,8,16,2305130
Lebanon,7,9,16,6603910
Lesotho,5,0,5,2164000
Liberia,31,3,34,4290730
Libya,9,20,29,6322800
Liechtenstein,4,1,5,35910
Lithuania,11,4,15,3573225
Luxembourg,4,12,16,499250
Macedonia,10,5,15,2154380
Madagascar,14,6,20,18368000
Malawi,17,7,24,13016000
Malaysia,133,11,144,22242065
Maldives,2,0,2,331000
Mali,68,3,71,13027840
Malta,4,4,8,468650
Marshall Islands,2,0,2,65700
Martinique,3,1,4,427330
Mauritania,7,1,8,3858400
Mauritius,7,7,14,1234660
Mayotte,3,2,5,211700
Mexico,287,5,292,125535200
Micronesia,18,1,19,111010
Moldova,10,4,14,2718530
Monaco,5,0,5,33850
Mongolia,12,2,14,3113100
Montenegro,6,7,13,575330
Montserrat,2,0,2,3920
Morocco,14,1,15,39290920
Mozambique,43,4,47,23792100
Myanmar,120,6,126,49284095
Namibia,27,6,33,2668940
Nauru,3,6,9,13500
Nepal,122,7,129,26612919
Netherlands,15,35,50,21947700
New Caledonia,38,2,40,143010
New Zealand,4,61,65,4706160
Nicaragua,11,0,11,6404490
Niger,23,0,23,15810500
Nigeria,517,7,524,163317444
Niue,2,1,3,1550
Norfolk Island,2,0,2,2110
North Korea,1,0,1,23300000
Northern Mariana Islands,4,3,7,42180
Norway,11,36,47,5746480
Oman,17,14,31,4236000
Pakistan,74,11,85,201998220
Palau,4,2,6,20870
Palestine,7,3,10,4258410
Panama,14,4,18,4255840
Papua New Guinea,840,0,840,4213381
Paraguay,23,4,27,6633188
Peru,93,1,94,30994201
Philippines,183,8,191,70776614
Pitcairn,2,0,2,36
Poland,22,5,27,37460007
Portugal,10,13,23,10259240
Puerto Rico,4,8,12,3530200
Qatar,3,15,18,2537980
Romania,26,3,29,20492430
Russian Federation,115,44,159,138698335
Rwanda,3,2,5,11124180
Réunion,3,5,8,656200
Saint Barthélemy,3,0,3,7850
Saint Helena,1,0,1,5900
Saint Kitts and Nevis,3,0,3,52040
Saint Lucia,3,1,4,159600
Saint Martin,3,2,5,28500
Saint Pierre and Miquelon,1,0,1,6000
Saint Vincent and the Grenadines,3,0,3,138500
Samoa,2,1,3,187000
San Marino,2,0,2,25000
Saudi Arabia,7,18,25,18763220
Senegal,38,8,46,13977980
Serbia,17,7,24,8830600
Seychelles,3,0,3,85420
Sierra Leone,24,2,26,6977150
Singapore,24,7,31,6105380
Sint Maarten,4,5,9,39880
Slovakia,12,3,15,5524990
Slovenia,11,4,15,2103960
Solomon Islands,72,0,72,379966
Somalia,13,1,14,9938659
South Africa,30,12,42,51004892
South Korea,4,1,5,48586000
South Sudan,69,0,69,4504650
Spain,17,17,34,52439510
Sri Lanka,7,5,12,19550320
Sudan,75,1,76,35091200
Suriname,21,6,27,562014
Sweden,15,22,37,10325090
Switzerland,13,20,33,8980230
Syria,17,7,24,18708430
São Tomé e Príncipe,5,3,8,204200
Tajikistan,13,20,33,7580210
Tanzania,125,1,126,51108150
Thailand,73,15,88,53357924
Togo,44,2,46,4889380
Tokelau,2,3,5,2421
Tonga,3,1,4,105800
Trinidad and Tobago,7,2,9,2628000
Tunisia,7,8,15,11582100
Turkey,39,15,54,90297204
Turkmenistan,6,25,31,5300460
Turks and Caicos Islands,2,2,4,29840
Tuvalu,3,0,3,10100
U.S. Virgin Islands,3,3,6,85850
Uganda,43,2,45,33862350
Ukraine,21,27,48,40599806
United Arab Emirates,10,17,27,9266400
United Kingdom,13,72,85,61546750
United States,219,116,335,326756719
Uruguay,5,9,14,3589050
Uzbekistan,11,26,37,30929000
Vanuatu,110,6,116,196298
Vatican State,2,0,2,330
Venezuela,42,6,48,31087151
Viet Nam,109,3,112,86884520
Wallis and Futuna,3,0,3,12960
Western Sahara,3,1,4,584000
Yemen,11,6,17,26810300
Zambia,46,9,55,11364870
Zimbabwe,22,2,24,11926440